Loading data ...
Loaded dataset.shape = (93651, 1049)
Transpose dataset.shape = (1048, 93651)
Data loaded and ordered.

==================== Feature size = 50 ====================
Random forest and DQN initialising ...   done.
Pre-processing data ...   done.
Representation learning ...   done.
One hot encoding data ...   done.

246/1000: r = 0.73, accuracy = 88.57%
247/1000: r = 0.73, accuracy = 88.57%
248/1000: r = 0.68, accuracy = 88.57%
249/1000: r = 0.74, accuracy = 88.57%
250/1000: r = 0.75, accuracy = 88.57%
251/1000: r = 0.73, accuracy = 88.57%
252/1000: r = 0.68, accuracy = 88.57%
253/1000: r = 0.72, accuracy = 88.57%
254/1000: r = 0.71, accuracy = 88.57%
255/1000: r = 0.71, accuracy = 90.48%
256/1000: r = 0.76, accuracy = 90.48%
257/1000: r = 0.80, accuracy = 90.48%
258/1000: r = 0.76, accuracy = 89.52%
259/1000: r = 0.73, accuracy = 88.57%
260/1000: r = 0.68, accuracy = 88.57%
261/1000: r = 0.79, accuracy = 88.57%
262/1000: r = 0.66, accuracy = 88.57%
263/1000: r = 0.72, accuracy = 88.57%
264/1000: r = 0.78, accuracy = 88.57%
265/1000: r = 0.70, accuracy = 89.52%
266/1000: r = 0.78, accuracy = 89.52%
267/1000: r = 0.71, accuracy = 89.52%
268/1000: r = 0.71, accuracy = 87.62%
269/1000: r = 0.75, accuracy = 87.62%
270/1000: r = 0.77, accuracy = 87.62%
271/1000: r = 0.72, accuracy = 87.62%
272/1000: r = 0.74, accuracy = 87.62%
273/1000: r = 0.74, accuracy = 87.62%
274/1000: r = 0.76, accuracy = 87.62%
275/1000: r = 0.71, accuracy = 87.62%
276/1000: r = 0.70, accuracy = 87.62%
277/1000: r = 0.73, accuracy = 89.52%
278/1000: r = 0.70, accuracy = 85.71%
279/1000: r = 0.75, accuracy = 85.71%
280/1000: r = 0.74, accuracy = 85.71%
281/1000: r = 0.78, accuracy = 85.71%
282/1000: r = 0.71, accuracy = 85.71%
283/1000: r = 0.71, accuracy = 85.71%
284/1000: r = 0.75, accuracy = 86.67%
